Original Title,Authors,cleaned_title
What's in the Box? Reasoning about Unseen Objects from Multimodal Cues,"Lance Ying,Daniel Xu,Alicia Zhang,Katherine M. Collins,Max H. Siegel,Joshua B. Tenenbaum",whats box reasoning unseen object multimodal cue
Collaborative Editable Model,"Kaiwen Tang,Aitong Wu,Yao Lu,Guangda Sun",collaborative editable model
Situational-Constrained Sequential Resources Allocation via Reinforcement Learning,"Libo Zhang,Yang Chen,Toru Takisaka,Kaiqi Zhao,Weidong Li,Jiamou Liu",situationalconstrained sequential resource allocation via reinforcement learning
Fragile Preferences: A Deep Dive Into Order Effects in Large Language Models,"Haonan Yin,Shai Vardi,Vidyanand Choudhary",fragile preference deep dive order effect large language model
Lightweight Relevance Grader in RAG,Taehee Jeong,lightweight relevance grader rag
FormGym: Doing Paperwork with Agents,"Matthew Toles,Rattandeep Singh,Isaac Song Zhou Yu",formgym paperwork agent
Into the Unknown: Applying Inductive Spatial-Semantic Location Embeddings for Predicting Individuals' Mobility Beyond Visited Places,"Xinglei Wang,Tao Cheng,Stephen Law,Zichao Zeng,Ilya Ilyankou,Junyuan Liu,Lu Yin,Weiming Huang,Natchapon Jongwiriyanurak",unknown applying inductive spatialsemantic location embeddings predicting individual mobility beyond visited place
Discovering Temporal Structure: An Overview of Hierarchical Reinforcement Learning,"Martin Klissarov,Akhil Bagaria,Ziyan Luo,George Konidaris,Doina Precup,Marlos C. Machado",discovering temporal structure overview hierarchical reinforcement learning
Machine Mirages: Defining the Undefined,Hamidou Tembine,machine mirage defining undefined
SANGAM: SystemVerilog Assertion Generation via Monte Carlo Tree Self-Refine,"Adarsh Gupta,Bhabesh Mali,Chandan Karfa",sangam systemverilog assertion generation via monte carlo tree selfrefine
ProfiLLM: An LLM-Based Framework for Implicit Profiling of Chatbot Users,"Shahaf David,Yair Meidan,Ido Hersko,Daniel Varnovitzky,Dudu Mimran,Yuval Elovici,Asaf Shabtai",profillm llmbased framework implicit profiling chatbot user
Integrating Knowledge Graphs and Bayesian Networks: A Hybrid Approach for Explainable Disease Risk Prediction,"Mbithe Nzomo,Deshendran Moodley",integrating knowledge graph bayesian network hybrid approach explainable disease risk prediction
Evaluating Explainability: A Framework for Systematic Assessment and Reporting of Explainable AI Features,"Miguel A. Lago,Ghada Zamzmi,Brandon Eich,Jana G. Delfino",evaluating explainability framework systematic assessment reporting explainable feature
LocationReasoner: Evaluating LLMs on Real-World Site Selection Reasoning,"Miho Koda,Yu Zheng,Ruixian Ma,Mingyang Sun,Devesh Pansare,Fabio Duarte,Paolo Santi",locationreasoner evaluating llm realworld site selection reasoning
The Reflexive Integrated Information Unit: A Differentiable Primitive for Artificial Consciousness,"Gnankan Landry Regis N'guessan,Issa Karambal",reflexive integrated information unit differentiable primitive artificial consciousness
Bridging Pattern-Aware Complexity with NP-Hard Optimization: A Unifying Framework and Empirical Study,Olivier Saidi,bridging patternaware complexity nphard optimization unifying framework empirical study
Causality in the human niche: lessons for machine learning,"Richard D. Lange,Konrad P. Kording",causality human niche lesson machine learning
Feedforward Ordering in Neural Connectomes via Feedback Arc Minimization,Soroush Vahidi,feedforward ordering neural connectomes via feedback arc minimization
BotTrans: A Multi-Source Graph Domain Adaptation Approach for Social Bot Detection,"Boshen Shi,Yongqing Wang,Fangda Guo,Jiangli Shao,Huawei Shen,Xueqi Cheng",bottrans multisource graph domain adaptation approach social bot detection
Med-REFL: Medical Reasoning Enhancement via Self-Corrected Fine-grained Reflection,"Zongxian Yang,Jiayu Qian,Zegao Peng,Haoyu Zhang,Zhi-An Huang",medrefl medical reasoning enhancement via selfcorrected finegrained reflection
"ICE-ID: A Novel Historical Census Data Benchmark Comparing NARS against LLMs, \& a ML Ensemble on Longitudinal Identity Resolution","Gonçalo Hora de Carvalho,Lazar S. Popov,Sander Kaatee,Kristinn R. Thórisson,Tangrui Li,Pétur Húni Björnsson,Jilles S. Dibangoye",iceid novel historical census data benchmark comparing nars llm ensemble longitudinal identity resolution
The NordDRG AI Benchmark for Large Language Models,Tapio Pitkäranta,norddrg benchmark large language model
Recommendations and Reporting Checklist for Rigorous & Transparent Human Baselines in Model Evaluations,"Kevin L. Wei,Patricia Paskov,Sunishchal Dev,Michael J. Byun,Anka Reuel,Xavier Roberts-Gaal,Rachel Calcott,Evie Coxon,Chinmay Deshpande",recommendation reporting checklist rigorous transparent human baseline model evaluation
Personalized Constitutionally-Aligned Agentic Superego: Secure AI Behavior Aligned to Diverse Human Values,"Nell Watson,Ahmed Amer,Evan Harris,Preeti Ravindra,Shujun Zhang",personalized constitutionallyaligned agentic superego secure behavior aligned diverse human value
Representing Time-Continuous Behavior of Cyber-Physical Systems in Knowledge Graphs,"Milapji Singh Gill,Tom Jeleniewski,Felix Gehlhoff,Alexander Fay",representing timecontinuous behavior cyberphysical system knowledge graph
'Memory States' from Almost Nothing: Representing and Computing in a Non-associative Algebra,Stefan Reimann,memory state almost nothing representing computing nonassociative algebra
A Variational Framework for Improving Naturalness in Generative Spoken Language Models,"Li-Wei Chen,Takuya Higuchi,Zakaria Aldeneh,Ahmed Hussen Abdelaziz,Alexander Rudnicky",variational framework improving naturalness generative spoken language model
From Bytes to Ideas: Language Modeling with Autoregressive U-Nets,"Mathurin Videau,Badr Youbi Idrissi,Alessandro Leite,Marc Schoenauer,Olivier Teytaud,David Lopez-Paz",byte idea language modeling autoregressive unets
Exploring Speaker Diarization with Mixture of Experts,"Gaobin Yang,Maokui He,Shutong Niu,Ruoyu Wang,Hang Chen,Jun Du",exploring speaker diarization mixture expert
Ring-lite: Scalable Reasoning via C3PO-Stabilized Reinforcement Learning for LLMs,"Ring Team,Bin Hu,Cai Chen,Deng Zhao,Ding Liu,Dingnan Jin,Feng Zhu,Hao Dai,Hongzhi Luan,Jia Guo,Jiaming Liu,Jiewei Wu,Jun Mei,Jun Zhou,Junbo Zhao,Junwu Xiong,Kaihong Zhang,Kuan Xu,Lei Liang,Liang Jiang,Liangcheng Fu,Longfei Zheng,Qiang Gao,Qing Cui,Quan Wan,Shaomian Zheng,Shuaicheng Li,Tongkai Yang,Wang Ren,Xiaodong Yan,Xiaopei Wan,Xiaoyun Feng,Xin Zhao,Xinxing Yang,Xinyu Kong,Xuemin Yang,Yang Li,Yingting Wu,Yongkang Liu,Zhankai Xu,Zhenduo Zhang,Zhenglei Zhou,Zhenyu Huang,Zhiqiang Zhang,Zihao Wang,Zujie Wen",ringlite scalable reasoning via cpostabilized reinforcement learning llm
Casper: Inferring Diverse Intents for Assistive Teleoperation with Vision Language Models,"Huihan Liu,Rutav Shah,Shuijing Liu,Jack Pittenger,Mingyo Seo,Yuchen Cui,Yonatan Bisk,Roberto Martín-Martín,Yuke Zhu",casper inferring diverse intent assistive teleoperation vision language model
Adaptive Accompaniment with ReaLchords,"Yusong Wu,Tim Cooijmans,Kyle Kastner,Adam Roberts,Ian Simon,Alexander Scarlatos,Chris Donahue,Cassie Tarakajian,Shayegan Omidshafiei,Aaron Courville,Pablo Samuel Castro,Natasha Jaques,Cheng-Zhi Anna Huang",adaptive accompaniment realchords
Refining music sample identification with a self-supervised graph neural network,"Aditya Bhattacharjee,Ivan Meresman Higgs,Mark Sandler,Emmanouil Benetos",refining music sample identification selfsupervised graph neural network
Unified Software Engineering agent as AI Software Engineer,"Leonhard Applis,Yuntong Zhang,Shanchao Liang,Nan Jiang,Lin Tan,Abhik Roychoudhury",unified software engineering agent software engineer
Design an Editable Speech-to-Sign-Language Transformer System: A Human-Centered AI Approach,Yingchao Li,design editable speechtosignlanguage transformer system humancentered approach
StreetLens: Enabling Human-Centered AI Agents for Neighborhood Assessment from Street View Imagery,"Jina Kim,Leeje Jang,Yao-Yi Chiang,Guanyu Wang,Michelle Pasco",streetlens enabling humancentered agent neighborhood assessment street view imagery
Accurate and scalable exchange-correlation with deep learning,"Giulia Luise,Chin-Wei Huang,Thijs Vogels,Derk P. Kooi,Sebastian Ehlert,Stephanie Lanius,Klaas J. H. Giesbertz,Amir Karton,Deniz Gunceler,Megan Stanley,Wessel P. Bruinsma,Lin Huang,Xinran Wei,José Garrido Torres,Abylay Katbashev,Bálint Máté,Sékou-Oumar Kaba,Roberto Sordillo,Yingrong Chen,David B. Williams-Young,Christopher M. Bishop,Jan Hermann,Rianne van den Berg,Paola Gori-Giorgi",accurate scalable exchangecorrelation deep learning
"Rigor in AI: Doing Rigorous AI Work Requires a Broader, Responsible AI-Informed Conception of Rigor","Alexandra Olteanu,Su Lin Blodgett,Agathe Balayn,Angelina Wang,Fernando Diaz,Flavio du Pin Calmon,Margaret Mitchell,Michael Ekstrand,Reuben Binns,Solon Barocas",rigor rigorous work requires broader responsible aiinformed conception rigor
SENIOR: Efficient Query Selection and Preference-Guided Exploration in Preference-based Reinforcement Learning,"Hexian Ni,Tao Lu,Haoyuan Hu,Yinghao Cai,Shuo Wang",senior efficient query selection preferenceguided exploration preferencebased reinforcement learning
Revisiting Chain-of-Thought Prompting: Zero-shot Can Be Stronger than Few-shot,"Xiang Cheng,Chengyan Pan,Minjun Zhao,Deyang Li,Fangchao Liu,Xinyu Zhang,Xiao Zhang,Yong Liu",revisiting chainofthought prompting zeroshot stronger fewshot
Navigating the growing field of research on AI for software testing -- the taxonomy for AI-augmented software testing and an ontology-driven literature survey,Ina K. Schieferdecker,navigating growing field research software testing taxonomy aiaugmented software testing ontologydriven literature survey
AIn't Nothing But a Survey? Using Large Language Models for Coding German Open-Ended Survey Responses on Survey Motivation,"Leah von der Heyde,Anna-Carolina Haensch,Bernd Weiß,Jessika Daikeler",aint nothing survey using large language model coding german openended survey response survey motivation
ACM Survey Draft on Formalising Software Requirements with Large Language Models,"Arshad Beg,Diarmuid O'Donoghue,Rosemary Monahan",acm survey draft formalising software requirement large language model
Probabilistic Aggregation and Targeted Embedding Optimization for Collective Moral Reasoning in Large Language Models,"Chenchen Yuan,Zheyu Zhang,Shuo Yang,Bardh Prenkaj,Gjergji Kasneci",probabilistic aggregation targeted embedding optimization collective moral reasoning large language model
Low-code to fight climate change: the Climaborough project,"Aaron Conrardy,Armen Sulejmani,Cindy Guerlain,Daniele Pagani,David Hick,Matteo Satta,Jordi Cabot",lowcode fight climate change climaborough project
PoseGRAF: Geometric-Reinforced Adaptive Fusion for Monocular 3D Human Pose Estimation,"Ming Xu,Xu Zhang",posegraf geometricreinforced adaptive fusion monocular human pose estimation
Synthetic Data Augmentation for Table Detection: Re-evaluating TableNet's Performance with Automatically Generated Document Images,"Krishna Sahukara,Zineddine Bettouche,Andreas Fischer",synthetic data augmentation table detection reevaluating tablenets performance automatically generated document image
GenerationPrograms: Fine-grained Attribution with Executable Programs,"David Wan,Eran Hirsch,Elias Stengel-Eskin,Ido Dagan,Mohit Bansal",generationprograms finegrained attribution executable program
Object-Centric Neuro-Argumentative Learning,"Abdul Rahman Jacob,Avinash Kori,Emanuele De Angelis,Ben Glocker,Maurizio Proietti,Francesca Toni",objectcentric neuroargumentative learning
TGDPO: Harnessing Token-Level Reward Guidance for Enhancing Direct Preference Optimization,"Mingkang Zhu,Xi Chen,Zhongdao Wang,Bei Yu,Hengshuang Zhao,Jiaya Jia",tgdpo harnessing tokenlevel reward guidance enhancing direct preference optimization
Controlling Context: Generative AI at Work in Integrated Circuit Design and Other High-Precision Domains,"Emanuel Moss,Elizabeth Watkins,Christopher Persaud,Passant Karunaratne,Dawn Nafus",controlling context generative work integrated circuit design highprecision domain
AlphaDecay:Module-wise Weight Decay for Heavy-Tailed Balancing in LLMs,"Di He,Ajay Jaiswal,Songjun Tu,Li Shen,Ganzhao Yuan,Shiwei Liu,Lu Yin",alphadecaymodulewise weight decay heavytailed balancing llm
"Aligning Evaluation with Clinical Priorities: Calibration, Label Shift, and Error Costs","Gerardo A. Flores,Alyssa H. Smith,Julia A. Fukuyama,Ashia C. Wilson",aligning evaluation clinical priority calibration label shift error cost
Automatic Qiskit Code Refactoring Using Large Language Models,"José Manuel Suárez,Luis Mariano Bibbó,Joaquin Bogado,Alejandro Fernandez",automatic qiskit code refactoring using large language model
Complete Characterization for Adjustment in Summary Causal Graphs of Time Series,"Clément Yvernes,Emilie Devijver,Eric Gaussier",complete characterization adjustment summary causal graph time series
Sharp Generalization Bounds for Foundation Models with Asymmetric Randomized Low-Rank Adapters,"Anastasis Kratsios,Tin Sum Cheng,Aurelien Lucchi,Haitz Sáez de Ocáriz Borde",sharp generalization bound foundation model asymmetric randomized lowrank adapter
GAMORA: A Gesture Articulated Meta Operative Robotic Arm for Hazardous Material Handling in Containment-Level Environments,"Farha Abdul Wasay,Mohammed Abdul Rahman,Hania Ghouse",gamora gesture articulated meta operative robotic arm hazardous material handling containmentlevel environment
Leveraging External Factors in Household-Level Electrical Consumption Forecasting using Hypernetworks,"Fabien Bernier,Maxime Cordy,Yves Le Traon",leveraging external factor householdlevel electrical consumption forecasting using hypernetworks
A Scalable Hybrid Training Approach for Recurrent Spiking Neural Networks,"Maximilian Baronig,Yeganeh Bahariasl,Ozan Özdenizci,Robert Legenstein",scalable hybrid training approach recurrent spiking neural network
Hamiltonian Formalism for Comparing Quantum and Classical Intelligence,Elija Perrier,hamiltonian formalism comparing quantum classical intelligence
Adapting Lightweight Vision Language Models for Radiological Visual Question Answering,"Aditya Shourya,Michel Dumontier,Chang Sun",adapting lightweight vision language model radiological visual question answering
Model compression using knowledge distillation with integrated gradients,"David E. Hernandez,Jose Chang,Torbjörn E. M. Nordling",model compression using knowledge distillation integrated gradient
sHGCN: Simplified hyperbolic graph convolutional neural networks,"Pol Arévalo,Alexis Molina,Álvaro Ciudad",shgcn simplified hyperbolic graph convolutional neural network
Unifying Streaming and Non-streaming Zipformer-based ASR,"Bidisha Sharma,Karthik Pandia Durai,Shankar Venkatesan,Jeena J Prakash,Shashi Kumar,Malolan Chetlur,Andreas Stolcke",unifying streaming nonstreaming zipformerbased asr
Is Selection All You Need in Differential Evolution?,"Tomofumi Kitamura,Alex Fukunaga",selection need differential evolution
Compositional Attribute Imbalance in Vision Datasets,"Jiayi Chen,Yanbiao Ma,Andi Zhang,Weidong Tang,Wei Dai,Bowei Liu",compositional attribute imbalance vision datasets
RAGtifier: Evaluating RAG Generation Approaches of State-of-the-Art RAG Systems for the SIGIR LiveRAG Competition,"Tim Cofala,Oleh Astappiev,William Xion,Hailay Teklehaymanot",ragtifier evaluating rag generation approach stateoftheart rag system sigir liverag competition
Adaptive Reinforcement Learning for Unobservable Random Delays,"John Wikman,Alexandre Proutiere,David Broman",adaptive reinforcement learning unobservable random delay
ImpliRet: Benchmarking the Implicit Fact Retrieval Challenge,"Zeinab Sadat Taghavi,Ali Modarressi,Yunpu Ma,Hinrich Schütze",impliret benchmarking implicit fact retrieval challenge
Causally Steered Diffusion for Automated Video Counterfactual Generation,"Nikos Spyrou,Athanasios Vlontzos,Paraskevas Pegios,Thomas Melistas,Nefeli Gkouti,Yannis Panagakis,Giorgos Papanastasiou,Sotirios A. Tsaftaris",causally steered diffusion automated video counterfactual generation
Decoupled Classifier-Free Guidance for Counterfactual Diffusion Models,"Tian Xia,Fabio De Sousa Ribeiro,Rajat R Rasal,Avinash Kori,Raghav Mehta,Ben Glocker",decoupled classifierfree guidance counterfactual diffusion model
HiLight: A Hierarchical Reinforcement Learning Framework with Global Adversarial Guidance for Large-Scale Traffic Signal Control,"Yaqiao Zhu,Hongkai Wen,Geyong Min,Man Luo",hilight hierarchical reinforcement learning framework global adversarial guidance largescale traffic signal control
ResNets Are Deeper Than You Think,"Christian H.X. Ali Mehmeti-Göpel,Michael Wand",resnets deeper think
DepthSeg: Depth prompting in remote sensing semantic segmentation,"Ning Zhou,Shanxiong Chen,Mingting Zhou,Haigang Sui,Lieyun Hu,Han Li,Li Hua,Qiming Zhou",depthseg depth prompting remote sensing semantic segmentation
IntelliLung: Advancing Safe Mechanical Ventilation using Offline RL with Hybrid Actions and Clinically Aligned Rewards,"Muhammad Hamza Yousuf,Jason Li,Sahar Vahdati,Raphael Theilen,Jakob Wittenstein,Jens Lehmann",intellilung advancing safe mechanical ventilation using offline hybrid action clinically aligned reward
EVA02-AT: Egocentric Video-Language Understanding with Spatial-Temporal Rotary Positional Embeddings and Symmetric Optimization,"Xiaoqi Wang,Yi Wang,Lap-Pui Chau",evaat egocentric videolanguage understanding spatialtemporal rotary positional embeddings symmetric optimization
LLM-Powered Intent-Based Categorization of Phishing Emails,"Even Eilertsen,Vasileios Mavroeidis,Gudmund Grov",llmpowered intentbased categorization phishing email
Adjustment for Confounding using Pre-Trained Representations,"Rickmer Schulte,David Rügamer,Thomas Nagler",adjustment confounding using pretrained representation
orGAN: A Synthetic Data Augmentation Pipeline for Simultaneous Generation of Surgical Images and Ground Truth Labels,"Niran Nataraj,Maina Sogabe,Kenji Kawashima",organ synthetic data augmentation pipeline simultaneous generation surgical image ground truth label
Uncertainty-Driven Radar-Inertial Fusion for Instantaneous 3D Ego-Velocity Estimation,"Prashant Kumar Rai,Elham Kowsari,Nataliya Strokina,Reza Ghabcheloo",uncertaintydriven radarinertial fusion instantaneous egovelocity estimation
Steering Robots with Inference-Time Interactions,Yanwei Wang,steering robot inferencetime interaction
Improving LoRA with Variational Learning,"Bai Cong,Nico Daheim,Yuesong Shen,Rio Yokota,Mohammad Emtiyaz Khan,Thomas Möllenhoff",improving lora variational learning
Knowledge Adaptation as Posterior Correction,Mohammad Emtiyaz Khan,knowledge adaptation posterior correction
Re-Initialization Token Learning for Tool-Augmented Large Language Models,"Chenghao Li,Liu Liu,Baosheng Yu,Jiayan Qiu,Yibing Zhan",reinitialization token learning toolaugmented large language model
Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team,"Md Tanzib Hosain,Salman Rahman,Md Kishor Morol,Md Rizwan Parvez",xolver multiagent reasoning holistic experience learning like olympiad team
HRGS: Hierarchical Gaussian Splatting for Memory-Efficient High-Resolution 3D Reconstruction,"Changbai Li,Haodong Zhu,Hanlin Chen,Juan Zhang,Tongfei Chen,Shuo Yang,Shuwei Shao,Wenhao Dong,Baochang Zhang",hrgs hierarchical gaussian splatting memoryefficient highresolution reconstruction
"TriGuard: Testing Model Safety with Attribution Entropy, Verification, and Drift","Dipesh Tharu Mahato,Rohan Poudel,Pramod Dhungana",triguard testing model safety attribution entropy verification drift
Latent Anomaly Detection: Masked VQ-GAN for Unsupervised Segmentation in Medical CBCT,Pengwei Wang,latent anomaly detection masked vqgan unsupervised segmentation medical cbct
DiffusionBlocks: Blockwise Training for Generative Models via Score-Based Diffusion,"Makoto Shing,Takuya Akiba",diffusionblocks blockwise training generative model via scorebased diffusion
Balancing Caregiving and Self-Care: Exploring Mental Health Needs of Alzheimer's and Dementia Caregivers,"Jiayue Melissa Shi,Keran Wang,Dong Whi Yoo,Ravi Karkar,Koustuv Saha",balancing caregiving selfcare exploring mental health need alzheimers dementia caregiver
Can we train ASR systems on Code-switch without real code-switch data? Case study for Singapore's languages,"Tuan Nguyen,Huy-Dat Tran",train asr system codeswitch without real codeswitch data case study singapore language
GRAM: A Generative Foundation Reward Model for Reward Generalization,"Chenglong Wang,Yang Gan,Yifu Huo,Yongyu Mu,Qiaozhi He,Murun Yang,Bei Li,Tong Xiao,Chunliang Zhang,Tongran Liu,Jingbo Zhu",gram generative foundation reward model reward generalization
A multi-stage augmented multimodal interaction network for fish feeding intensity quantification,"Shulong Zhang,Mingyuan Yao,Jiayin Zhao,Xiao Liu,Haihua Wang",multistage augmented multimodal interaction network fish feeding intensity quantification
VideoMAR: Autoregressive Video Generatio with Continuous Tokens,"Hu Yu,Biao Gong,Hangjie Yuan,DanDan Zheng,Weilong Chai,Jingdong Chen,Kecheng Zheng,Feng Zhao",videomar autoregressive video generatio continuous token
StorySage: Conversational Autobiography Writing Powered by a Multi-Agent Framework,"Shayan Talaei,Meijin Li,Kanu Grover,James Kent Hippler,Diyi Yang,Amin Saberi",storysage conversational autobiography writing powered multiagent framework
S$^4$C: Speculative Sampling with Syntactic and Semantic Coherence for Efficient Inference of Large Language Models,"Tao He,Guang Huang,Yu Yang,Tianshi Xu,Sicheng Zhao,Guiguang Ding,Pengyang Wang,Feng Tian",speculative sampling syntactic semantic coherence efficient inference large language model
SceneAware: Scene-Constrained Pedestrian Trajectory Prediction with LLM-Guided Walkability,"Juho Bai,Inwook Shim",sceneaware sceneconstrained pedestrian trajectory prediction llmguided walkability
NeuroCoreX: An Open-Source FPGA-Based Spiking Neural Network Emulator with On-Chip Learning,"Ashish Gautam,Prasanna Date,Shruti Kulkarni,Robert Patton,Thomas Potok",neurocorex opensource fpgabased spiking neural network emulator onchip learning
KDMOS:Knowledge Distillation for Motion Segmentation,"Chunyu Cao,Jintao Cheng,Zeyu Chen,Linfan Zhan,Rui Fan,Zhijian He,Xiaoyu Tang",kdmosknowledge distillation motion segmentation
Less is More: Undertraining Experts Improves Model Upcycling,"Stefan Horoi,Guy Wolf,Eugene Belilovsky,Gintare Karolina Dziugaite",less undertraining expert improves model upcycling
CLGNN: A Contrastive Learning-based GNN Model for Betweenness Centrality Prediction on Temporal Graphs,"Tianming Zhang,Renbo Zhang,Zhengyi Yang,Yunjun Gao,Bin Cao,Jing Fan",clgnn contrastive learningbased gnn model betweenness centrality prediction temporal graph
SKOLR: Structured Koopman Operator Linear RNN for Time-Series Forecasting,"Yitian Zhang,Liheng Ma,Antonios Valkanas,Boris N. Oreshkin,Mark Coates",skolr structured koopman operator linear rnn timeseries forecasting
Essential-Web v1.0: 24T tokens of organized web data,"Essential AI:Andrew Hojel,Michael Pust,Tim Romanski,Yash Vanjani,Ritvik Kapila,Mohit Parmar,Adarsh Chaluvaraju,Alok Tripathy,Anil Thomas,Ashish Tanwer,Darsh J Shah,Ishaan Shah,Karl Stratos,Khoi Nguyen,Kurt Smith,Michael Callahan,Peter Rushton,Philip Monk,Platon Mazarakis,Saad Jamal,Saurabh Srivastava,Somanshu Singla,Ashish Vaswani",essentialweb token organized web data
Toward a Graph Foundation Model: Pre-Training Transformers With Random Walks,"Ziyuan Tang,Jie Chen",toward graph foundation model pretraining transformer random walk
Image Segmentation with Large Language Models: A Survey with Perspectives for Intelligent Transportation Systems,"Sanjeda Akter,Ibne Farabi Shihab,Anuj Sharma",image segmentation large language model survey perspective intelligent transportation system
InsertRank: LLMs can reason over BM25 scores to Improve Listwise Reranking,"Rahul Seetharaman,Kaustubh D. Dhole,Aman Bansal",insertrank llm reason score improve listwise reranking
Scientifically-Interpretable Reasoning Network (ScIReN): Uncovering the Black-Box of Nature,"Joshua Fan,Haodi Xu,Feng Tao,Md Nasim,Marc Grimson,Yiqi Luo,Carla P. Gomes",scientificallyinterpretable reasoning network sciren uncovering blackbox nature
Ace-CEFR -- A Dataset for Automated Evaluation of the Linguistic Difficulty of Conversational Texts for LLM Applications,"David Kogan,Max Schumacher,Sam Nguyen,Masanori Suzuki,Melissa Smith,Chloe Sophia Bellows,Jared Bernstein",acecefr dataset automated evaluation linguistic difficulty conversational text llm application
Asymptotically Smaller Encodings for Graph Problems and Scheduling,Bernardo Subercaseaux,asymptotically smaller encoding graph problem scheduling
SimpleDoc: Multi-Modal Document Understanding with Dual-Cue Page Retrieval and Iterative Refinement,"Chelsi Jain,Yiran Wu,Yifan Zeng,Jiale Liu,S hengyu Dai,Zhenwen Shao,Qingyun Wu,Huazheng Wang",simpledoc multimodal document understanding dualcue page retrieval iterative refinement
Bures-Wasserstein Flow Matching for Graph Generation,"Keyue Jiang,Jiahao Cui,Xiaowen Dong,Laura Toni",bureswasserstein flow matching graph generation
