Original Title,Authors
A Physics-Informed Meta-Learning Framework for the Continuous Solution of Parametric PDEs on Arbitrary Geometries,"Reza Najian Asl,Yusuke Yamazaki,Kianoosh Taghikhani,Mayu Muramatsu,Markus Apel,Shahed Rezaei"
The Amenability Framework: Rethinking Causal Ordering Without Estimating Causal Effects,"Carlos Fernández-Loría,Jorge Loría"
Robust Randomized Low-Rank Approximation with Row-Wise Outlier Detection,Aidan Tiruvan
Bridging the Theoretical Gap in Randomized Smoothing,"Blaise Delattre,Paul Caillon,Quentin Barthélemy,Erwan Fagnou,Alexandre Allauzen"
Reinforcement Learning for Solving the Pricing Problem in Column Generation: Applications to Vehicle Routing,"Abdo Abouelrous,Laurens Bliek,Adriana F. Gabor,Yaoxin Wu,Yingqian Zhang"
Large (Vision) Language Models are Unsupervised In-Context Learners,"Artyom Gadetsky,Andrei Atanov,Yulun Jiang,Zhitong Gao,Ghazal Hosseini Mighan,Amir Zamir,Maria Brbic"
Toward General and Robust LLM-enhanced Text-attributed Graph Learning,"Zihao Zhang,Xunkai Li,Rong-Hua Li,Bing Zhou,Zhenjun Li,Guoren Wang"
Towards Assessing Deep Learning Test Input Generators,"Seif Mzoughi,Ahmed Hajyahmed,Mohamed Elshafei,Foutse Khomh anb Diego Elias Costa"
On shallow feedforward neural networks with inputs from a topological space,Vugar Ismailov
Temporal Gaussian Copula For Clinical Multivariate Time Series Data Imputation,"Ye Su,Hezhe Qiao,Di Wu,Yuwen Chen,Lin Chen"
SPACE: SPike-Aware Consistency Enhancement for Test-Time Adaptation in Spiking Neural Networks,"Xinyu Luo,Kecheng Chen,Pao-Sheng Vincent Sun,Chris Xing Tian,Arindam Basu,Haoliang Li"
Tree-based Models for Vertical Federated Learning: A Survey,"Bingchen Qian,Yuexiang Xie,Yaliang Li,Bolin Ding,Jingren Zhou"
Ga$_2$O$_3$ TCAD Mobility Parameter Calibration using Simulation Augmented Machine Learning with Physics Informed Neural Network,"Le Minh Long Nguyen,Edric Ong,Matthew Eng,Yuhao Zhang,Hiu Yung Wong"
Enhancing Customer Contact Efficiency with Graph Neural Networks in Credit Card Fraud Detection Workflow,"Menghao Huo,Kuan Lu,Qiang Zhu,Zhenrui Chen"
Reasoning Under 1 Billion: Memory-Augmented Reinforcement Learning for Large Language Models,"Hung Le,Dai Do,Dung Nguyen,Svetha Venkatesh"
Advancing Semantic Caching for LLMs with Domain-Specific Embeddings and Synthetic Data,"Waris Gill(1 and 2),Justin Cechmanek(1),Tyler Hutcherson(1),Srijith Rajamohan(1),Jen Agarwal(1),Muhammad Ali Gulzar(2),Manvinder Singh(1),Benoit Dion((1) Redis, (2) Virginia Tech)"
Implicit Neural Differential Model for Spatiotemporal Dynamics,"Deepak Akhare,Pan Du,Tengfei Luo,Jian-Xun Wang"
Adapting World Models with Latent-State Dynamics Residuals,"JB Lanier,Kyungmin Kim,Armin Karamzade,Yifei Liu,Ankita Sinha,Kat He,Davide Corsi,Roy Fox"
Quantum Lipschitz Bandits,"Bongsoo Yi,Yue Kang,Yao Li"
CRC-SGAD: Conformal Risk Control for Supervised Graph Anomaly Detection,"Songran Bai,Xiaolong Zheng,Daniel Dajun Zeng"
Learning and Improving Backgammon Strategy,Gregory R. Galperin
Secure Generalization through Stochastic Bidirectional Parameter Updates Using Dual-Gradient Mechanism,"Shourya Goel,Himanshi Tibrewal,Anant Jain,Anshul Pundhir,Pravendra Singh"
On the Geometry of Receiver Operating Characteristic and Precision-Recall Curves,Reza Sameni
